x,y,z
1212,2896,2040
1212,2896,2040
1202,2883,2040
1202,2883,2040
1190,2883,2035
1190,2883,2035
1185,2880,2042
1185,2880,2042
1185,2880,2042
1185,2880,2042
1192,2880,2032
1192,2880,2032
1175,2867,2037
1175,2867,2037
1177,2870,2040
1177,2870,2040
1177,2870,2040
1165,2870,2042
1165,2870,2042
1155,2875,2037
1155,2875,2037
1155,2875,2058
1145,2870,2053
1145,2870,2053
1137,2877,2058
1137,2877,2058
1137,2877,2058
1147,2883,2047
1147,2883,2047
1125,2867,2047
1125,2880,2040
1125,2880,2040
1120,2870,2045
1112,2867,2032
1112,2867,2032
1100,2857,2035
1100,2857,2035
1100,2857,2035
1090,2867,2040
1090,2867,2040
1090,2867,2040
1090,2867,2040
1090,2867,2040
1090,2867,2040
1070,2867,2047
1070,2867,2047
1055,2881,2032
1055,2881,2032
1055,2881,2032
1055,2881,2032
1055,2881,2032
1065,2872,2035
1065,2872,2035
1050,2872,2040
1050,2872,2040
1050,2872,2040
1050,2872,2040
1050,2872,2040
1050,2872,2040
1050,2872,2040
1040,2872,2037
1037,2865,2058
1037,2865,2058
1037,2865,2058
1037,2865,2058
1037,2865,2058
1037,2865,2058
1037,2865,2058
1037,2865,2058
1037,2865,2058
1020,2875,2040
1020,2875,2040
1020,2875,2040
1020,2875,2040
1020,2875,2040
1020,2875,2040
1002,2857,2040
1002,2857,2040
990,2867,2045
990,2867,2045
995,2875,2037
995,2875,2037
1010,2872,2027
1010,2872,2027
1005,2867,2037
1005,2867,2037
1005,2867,2037
1005,2867,2037
997,2870,2030
997,2870,2030
997,2870,2030
995,2880,2035
1000,2872,2040
1000,2872,2040
1000,2872,2040
1000,2875,2032
1000,2875,2032
1017,2867,2037
1017,2867,2037
1007,2870,2035
1007,2870,2035
1000,2877,2030
1005,2862,2051
1005,2862,2051
1017,2872,2058
1017,2872,2058
1017,2872,2058
1025,2875,2042
1025,2875,2042
1022,2860,2045
1022,2860,2045
1022,2860,2045
1022,2860,2045
1037,2867,2047
1037,2867,2047
1037,2867,2047
1037,2867,2047
1032,2850,2051
1032,2850,2051
1035,2852,2032
1035,2852,2032
1035,2850,2037
1035,2850,2037
1042,2838,2037
1042,2838,2037
1027,2852,2042
1027,2852,2042
1037,2841,2042
1037,2841,2042
1035,2838,2042
1035,2838,2042
1035,2838,2042
1032,2846,2045
1032,2846,2035
1032,2846,2035
1032,2846,2035
1027,2847,2061
1027,2847,2061
1035,2843,2047
1035,2843,2047
1015,2846,2040
1012,2860,2045
1012,2860,2045
1010,2860,2047
1010,2860,2047
990,2850,2045
990,2850,2045
990,2850,2045
990,2850,2045
990,2850,2045
965,2852,2047
965,2852,2047
965,2852,2047
950,2857,2063
950,2857,2063
937,2846,2056
937,2846,2056
937,2846,2056
937,2846,2056
937,2846,2056
920,2855,2051
920,2855,2051
920,2855,2051
907,2846,2047
907,2846,2047
907,2846,2063
907,2846,2063
895,2857,2053
895,2852,2058
895,2852,2058
887,2870,2058
885,2857,2045
885,2857,2045
882,2865,2061
882,2865,2061
860,2857,2053
840,2865,2051
840,2865,2051
837,2867,2047
837,2867,2047
840,2867,2037
827,2865,2053
827,2865,2053
827,2865,2053
827,2865,2053
827,2860,2051
827,2857,2053
827,2857,2053
825,2872,2058
825,2872,2058
820,2850,2047
820,2850,2047
810,2857,2051
802,2852,2045
802,2852,2045
795,2860,2056
785,2857,2056
785,2857,2056
797,2865,2063
797,2865,2063
775,2872,2047
770,2875,2053
770,2875,2053
772,2877,2051
772,2877,2051
775,2880,2053
775,2880,2053
772,2870,2051
772,2870,2051
757,2870,2053
757,2870,2053
757,2870,2053
757,2870,2053
757,2870,2053
757,2870,2053
757,2870,2053
757,2870,2053
757,2870,2053
757,2870,2053
757,2870,2053
757,2870,2053
757,2870,2053
747,2865,2053
747,2865,2053
735,2857,2063
735,2857,2063
735,2857,2063
735,2857,2063
735,2857,2063
735,2857,2063
735,2857,2063
720,2867,2053
720,2867,2053
720,2867,2053
720,2867,2053
705,2886,2056
705,2886,2056
697,2886,2053
697,2886,2053
697,2886,2053
697,2886,2053
697,2886,2053
677,2888,2053
670,2886,2071
670,2886,2071
662,2898,2051
662,2898,2051
662,2898,2051
660,2901,2061
660,2901,2061
647,2908,2056
647,2908,2056
647,2908,2056
632,2901,2056
630,2898,2045
630,2898,2045
622,2906,2056
622,2906,2056
607,2915,2053
607,2915,2053
597,2927,2042
597,2927,2042
597,2927,2042
592,2937,2047
592,2937,2056
592,2937,2056
575,2947,2058
575,2947,2058
572,2945,2037
572,2945,2037
570,2950,2061
570,2950,2061
570,2950,2061
542,2958,2053
542,2958,2053
530,2958,2037
530,2958,2037
525,2971,2045
525,2971,2045
512,2963,2042
512,2963,2042
505,2968,2045
505,2968,2045
505,2968,2045
487,2976,2056
500,2987,2061
500,2987,2061
480,2987,2071
480,2987,2071
482,2995,2066
482,2995,2066
482,2995,2066
482,2995,2066
482,2995,2066
482,2995,2066
482,2995,2066
422,3028,2058
422,3028,2058
422,3028,2058
422,3028,2058
422,3028,2058
422,3028,2058
422,3028,2058
390,3055,2056
390,3055,2056
365,3070,2056
365,3070,2056
365,3070,2056
365,3070,2056
365,3070,2056
365,3070,2056
365,3070,2056
365,3070,2056
365,3070,2056
365,3070,2056
365,3070,2056
300,3142,2045
282,3145,2051
282,3145,2051
287,3161,2040
287,3161,2040
255,3181,2032
255,3181,2032
255,3181,2032
255,3181,2032
255,3181,2032
255,3181,2032
255,3181,2032
240,3220,2030
240,3220,2030
215,3231,2025
