x,y,z
1762,3436,2187
1760,3415,2177
1760,3415,2177
1760,3415,2177
1760,3415,2177
1760,3415,2177
1755,3417,2185
1755,3417,2185
1755,3417,2185
1747,3407,2167
1747,3407,2167
1747,3410,2160
1747,3410,2160
1767,3397,2167
1767,3397,2167
1767,3397,2167
1737,3396,2160
1737,3396,2160
1735,3393,2165
1735,3393,2165
1735,3393,2165
1735,3393,2165
1735,3393,2165
1742,3355,2167
1742,3355,2167
1742,3355,2167
1742,3357,2162
1742,3357,2162
1735,3357,2162
1735,3357,2162
1735,3357,2162
1732,3350,2170
1732,3350,2170
1732,3350,2170
1740,3357,2167
1740,3357,2167
1740,3335,2162
1740,3335,2162
1745,3327,2153
1745,3327,2153
1745,3327,2153
1747,3342,2170
1747,3342,2170
1745,3330,2175
1745,3330,2175
1745,3330,2175
1742,3311,2153
